,country,year,coal_mw_new
1050,Portugal,2009,0
1051,Reunion,2009,0
1052,Romania,2009,0
1053,Russia,2009,750
1054,Senegal,2009,0
1055,Serbia,2009,0
1056,Slovakia,2009,0
1057,Slovenia,2009,0
1058,South Africa,2009,0
1059,South Korea,2009,2359
1060,Spain,2009,0
1061,Sri Lanka,2009,0
1062,Sudan,2009,0
1063,Eswatini,2009,0
1064,Sweden,2009,0
1065,Syria,2009,0
1066,Taiwan,2009,0
1067,Tajikistan,2009,0
1068,Tanzania,2009,0
1069,Thailand,2009,0
1070,Turkey,2009,405
1071,Ukraine,2009,0
1072,United Arab Emirates,2009,0
1073,United Kingdom,2009,0
1074,United States,2009,2597
1075,Uzbekistan,2009,0
1076,Venezuela,2009,0
1077,Vietnam,2009,520
1078,Zambia,2009,0
1079,Zimbabwe,2009,0
1080,Albania,2010,0
1081,Argentina,2010,0
1082,Australia,2010,0
1083,Austria,2010,0
1084,Bangladesh,2010,0
1085,Belarus,2010,0
1086,Belgium,2010,0
1087,Bosnia and Herzegovina,2010,0
1088,Botswana,2010,0
1089,Brazil,2010,414
1090,Brunei,2010,0
1091,Bulgaria,2010,0
1092,Cambodia,2010,0
1093,Canada,2010,0
1094,Chile,2010,419
1095,China,2010,64051
1096,Colombia,2010,0
1097,Croatia,2010,0
1098,Czech Republic,2010,0
1099,Democratic Republic of Congo,2010,0
