,country,alpha_3,year,coal_mw_new,coal_mw_retired,coal_mw_change
424,United Arab Emirates,ARE,2003,0,0,0
425,United Kingdom,GBR,2003,0,2075,-2075
426,United States,USA,2003,88,1510,-1422
427,Uzbekistan,UZB,2003,0,0,0
428,Venezuela,VEN,2003,0,0,0
429,Vietnam,VNM,2003,0,0,0
430,Zambia,ZMB,2003,0,0,0
431,Zimbabwe,ZWE,2003,0,0,0
432,Albania,ALB,2004,0,0,0
433,Argentina,ARG,2004,0,0,0
434,Australia,AUS,2004,0,0,0
435,Austria,AUT,2004,0,0,0
436,Bangladesh,BGD,2004,0,0,0
437,Belarus,BLR,2004,0,0,0
438,Belgium,BEL,2004,0,0,0
439,Bosnia and Herzegovina,BIH,2004,0,0,0
440,Botswana,BWA,2004,0,0,0
441,Brazil,BRA,2004,0,0,0
442,Brunei,BRN,2004,0,0,0
443,Bulgaria,BGR,2004,0,120,-120
444,Cambodia,KHM,2004,0,0,0
445,Canada,CAN,2004,0,0,0
446,Chile,CHL,2004,0,0,0
447,China,CHN,2004,29981,228,29753
448,Colombia,COL,2004,0,0,0
449,Croatia,HRV,2004,0,0,0
450,Czech Republic,CZE,2004,72,0,72
451,Democratic Republic of Congo,COD,2004,0,0,0
452,Denmark,DNK,2004,0,70,-70
453,Dominican Republic,DOM,2004,0,0,0
454,Egypt,EGY,2004,0,0,0
455,El Salvador,SLV,2004,0,0,0
456,Ethiopia,ETH,2004,0,0,0
457,Finland,FIN,2004,0,0,0
458,France,FRA,2004,46,0,46
459,Georgia,GEO,2004,0,0,0
460,Germany,DEU,2004,0,90,-90
461,Ghana,GHA,2004,0,0,0
462,Greece,GRC,2004,0,0,0
463,Guadeloupe,GLP,2004,0,0,0
464,Guatemala,GTM,2004,0,0,0
465,Guinea,GIN,2004,0,0,0
466,Honduras,HND,2004,0,0,0
467,Hong Kong,HKG,2004,0,0,0
468,Hungary,HUN,2004,0,100,-100
469,India,IND,2004,483,0,483
470,Indonesia,IDN,2004,30,0,30
471,Iran,IRN,2004,0,0,0
472,Ireland,IRL,2004,0,0,0
473,Israel,ISR,2004,0,0,0
474,Italy,ITA,2004,0,250,-250
475,Ivory Coast,CIV,2004,0,0,0
476,Jamaica,JAM,2004,0,0,0
477,Japan,JPN,2004,2702,397,2305
478,Jordan,JOR,2004,0,0,0
479,Kazakhstan,KAZ,2004,0,0,0
480,Kenya,KEN,2004,0,0,0
481,Kosovo,,2004,0,0,0
482,Kyrgyzstan,KGZ,2004,0,0,0
483,Laos,LAO,2004,0,0,0
484,Latvia,LVA,2004,0,0,0
485,Madagascar,MDG,2004,0,0,0
486,Malawi,MWI,2004,0,0,0
487,Malaysia,MYS,2004,110,0,110
488,Mauritius,MUS,2004,0,0,0
489,Mexico,MEX,2004,0,0,0
490,Moldova,MDA,2004,0,0,0
491,Mongolia,MNG,2004,0,0,0
492,Montenegro,MNE,2004,0,0,0
493,Morocco,MAR,2004,0,0,0
494,Mozambique,MOZ,2004,0,0,0
495,Myanmar,MMR,2004,60,0,60
496,Namibia,NAM,2004,0,0,0
497,Netherlands,NLD,2004,0,0,0
498,New Zealand,NZL,2004,0,0,0
499,Niger,NER,2004,0,0,0
500,Nigeria,NGA,2004,0,0,0
501,North Korea,KOR,2004,0,0,0
502,North Macedonia,MKD,2004,0,0,0
503,Oman,OMN,2004,0,0,0
504,Pakistan,PAK,2004,0,0,0
505,Panama,PAN,2004,0,0,0
506,Papua New Guinea,PNG,2004,0,0,0
507,Peru,PER,2004,0,0,0
508,Philippines,PHL,2004,0,0,0
509,Poland,POL,2004,0,0,0
510,Portugal,PRT,2004,0,0,0
511,Reunion,REU,2004,0,0,0
512,Romania,ROU,2004,0,0,0
513,Russia,RUS,2004,200,110,90
514,Senegal,SEN,2004,0,0,0
515,Serbia,SRB,2004,0,0,0
516,Slovakia,SVK,2004,0,0,0
517,Slovenia,SVN,2004,0,0,0
518,South Africa,ZAF,2004,0,0,0
519,South Korea,PRK,2004,1600,0,1600
520,Spain,ESP,2004,0,0,0
521,Sri Lanka,LKA,2004,0,0,0
522,Sudan,SDN,2004,0,0,0
523,Eswatini,SWZ,2004,0,0,0
524,Sweden,SWE,2004,0,0,0
525,Syria,SYR,2004,0,0,0
526,Taiwan,TWN,2004,300,0,300
527,Tajikistan,TJK,2004,0,0,0
528,Tanzania,TZA,2004,0,0,0
529,Thailand,THA,2004,0,0,0
530,Turkey,TUR,2004,0,0,0
531,Ukraine,UKR,2004,0,0,0
532,United Arab Emirates,ARE,2004,0,0,0
533,United Kingdom,GBR,2004,0,0,0
534,United States,USA,2004,585,570,15
535,Uzbekistan,UZB,2004,0,0,0
536,Venezuela,VEN,2004,0,0,0
537,Vietnam,VNM,2004,250,0,250
538,Zambia,ZMB,2004,0,0,0
539,Zimbabwe,ZWE,2004,0,0,0
540,Albania,ALB,2005,0,0,0
541,Argentina,ARG,2005,0,0,0
542,Australia,AUS,2005,0,0,0
543,Austria,AUT,2005,0,0,0
544,Bangladesh,BGD,2005,0,0,0
545,Belarus,BLR,2005,0,0,0
546,Belgium,BEL,2005,0,0,0
547,Bosnia and Herzegovina,BIH,2005,0,0,0
548,Botswana,BWA,2005,0,0,0
549,Brazil,BRA,2005,0,0,0
550,Brunei,BRN,2005,0,0,0
551,Bulgaria,BGR,2005,0,0,0
552,Cambodia,KHM,2005,0,0,0
553,Canada,CAN,2005,466,2658,-2192
554,Chile,CHL,2005,0,0,0
555,China,CHN,2005,46991,50,46941
556,Colombia,COL,2005,0,0,0
557,Croatia,HRV,2005,0,0,0
558,Czech Republic,CZE,2005,0,0,0
559,Democratic Republic of Congo,COD,2005,0,0,0
560,Denmark,DNK,2005,0,0,0
561,Dominican Republic,DOM,2005,0,0,0
562,Egypt,EGY,2005,0,0,0
563,El Salvador,SLV,2005,0,0,0
564,Ethiopia,ETH,2005,0,0,0
565,Finland,FIN,2005,0,0,0
566,France,FRA,2005,0,730,-730
567,Georgia,GEO,2005,0,0,0
568,Germany,DEU,2005,0,510,-510
569,Ghana,GHA,2005,0,0,0
570,Greece,GRC,2005,0,0,0
571,Guadeloupe,GLP,2005,0,0,0
572,Guatemala,GTM,2005,0,0,0
573,Guinea,GIN,2005,0,0,0
574,Honduras,HND,2005,0,0,0
575,Hong Kong,HKG,2005,0,0,0
576,Hungary,HUN,2005,0,0,0
577,India,IND,2005,3325,0,3325
578,Indonesia,IDN,2005,0,0,0
579,Iran,IRN,2005,0,0,0
580,Ireland,IRL,2005,0,0,0
581,Israel,ISR,2005,0,0,0
582,Italy,ITA,2005,350,0,350
583,Ivory Coast,CIV,2005,0,0,0
584,Jamaica,JAM,2005,0,0,0
585,Japan,JPN,2005,276,85,191
586,Jordan,JOR,2005,0,0,0
587,Kazakhstan,KAZ,2005,0,0,0
588,Kenya,KEN,2005,0,0,0
589,Kosovo,,2005,0,0,0
590,Kyrgyzstan,KGZ,2005,0,0,0
591,Laos,LAO,2005,0,0,0
592,Latvia,LVA,2005,0,0,0
593,Madagascar,MDG,2005,0,0,0
594,Malawi,MWI,2005,0,0,0
595,Malaysia,MYS,2005,0,0,0
596,Mauritius,MUS,2005,35,0,35
597,Mexico,MEX,2005,0,0,0
598,Moldova,MDA,2005,0,0,0
599,Mongolia,MNG,2005,0,0,0
600,Montenegro,MNE,2005,0,0,0
601,Morocco,MAR,2005,0,0,0
602,Mozambique,MOZ,2005,0,0,0
603,Myanmar,MMR,2005,60,0,60
604,Namibia,NAM,2005,0,0,0
605,Netherlands,NLD,2005,0,0,0
